*action,categoryId,userId,permissionLevel
6,44679911,e342529,0
6,44679911,e046412,0
6,44679911,e549014,0
6,44680971,e705972,0
6,44679871,e549014,0
6,44679871,e184126,0
6,44679871,e540422,0
6,45505212,e840221,0
6,45505212,e407648,0
6,44679931,e372137,0
6,44679931,e576236,0
6,44679931,H100460,0
6,44681081,e528023,0
6,44681081,H100460,0
6,44681081,e576236,0
6,44680031,e337335,0
6,44680031,e092390,0
6,44680031,e056878,0
6,44681151,e489199,0
6,44681151,e329237,0
6,44681151,e350200,0
6,44680041,e045068,0
6,44680041,e540196,0
6,44680051,H151011,0
6,44680051,e540196,0
6,44680061,e822449,0
6,44680061,e808131,0
6,44680061,e869386,0
6,44680991,e888500,0
6,44680991,T006519,0
6,44680071,e808131,0
6,44680071,e822449,0
6,44680071,e825392,0
6,44680081,e314160,0
6,44680081,e335877,0
6,44680091,e540196,0
6,44680091,e022962,0
6,44681271,e540196,0
6,44681271,e022962,0
6,44681271,e808131,0
6,44680101,e847213,0
6,44680101,e852584,0
6,44680101,e869386,0
6,44680821,e588316,0
6,44680111,e545939,0
6,44680111,e822449,0
6,44680731,e719525,0
6,44680731,e379984,0
6,44680021,e540196,0
6,44680021,e022962,0
6,44680021,e808131,0
6,44680981,e033913,0
6,44680981,e435786,0
6,44680981,e072596,0
6,44680941,e558024,0
6,44680941,e019522,0
6,45505222,e560368,0
6,45505222,e369917,0
6,45505222,e597777,0
6,44681261,e243989,0
6,44681261,e559301,0
6,44680801,e549264,0
6,44680801,e529485,0
6,44680801,e186820,0
6,44680121,e159297,0
6,44680121,e516235,0
6,44680121,e232453,0
6,44681031,e535053,0
6,44681031,e300772,0
6,45505232,H148771,0
6,45505232,H144228,0
6,45505232,e383944,0
6,44680321,e184126,0
6,44680321,e553707,0
6,44680951,e363721,0
6,44680951,e380283,0
6,44680951,e805538,0
6,44681211,e159297,0
6,44681211,e146818,0
6,44679941,e576236,0
6,44679941,H100460,0
6,44680761,H159161,0
6,44680761,e888961,0
6,44680761,H104568,0
6,44681251,e382413,0
6,44681251,e535053,0
6,44681251,etopaz,0
6,44681281,e524866,0
